Task,BCET,WCET,Period,Deadline,Priority
Task_0,0,1,100,100,1
Task_1,1,3,300,300,4
Task_2,0,2,200,200,3
Task_3,0,1,50,50,0
Task_4,4,12,400,400,5
Task_5,16,36,1200,1200,9
Task_6,5,18,900,900,8
Task_7,4,18,600,600,6
Task_8,1,3,150,150,2
Task_9,40,81,2700,2700,12
Task_10,5,16,800,800,7
Task_11,33,72,3600,3600,13
Task_12,9,24,2400,2400,11
Task_13,49,108,10800,10800,17
Task_14,47,144,7200,7200,15
Task_15,104,216,21600,21600,18
Task_16,59,162,8100,8100,16
Task_17,12,36,1800,1800,10
Task_18,68,162,5400,5400,14
Task_19,395,972,32400,32400,19
