Task,BCET,WCET,Period,Deadline,Priority
Task_0,0,1,20,20,0
Task_1,0,1,100,100,5
Task_2,0,1,50,50,2
Task_3,1,2,25,25,1
Task_4,3,12,150,150,6
Task_5,1,3,60,60,3
Task_6,8,18,300,300,9
Task_7,22,81,900,900,14
Task_8,5,14,200,200,7
Task_9,15,42,600,600,12
Task_10,2,6,75,75,4
Task_11,3,9,225,225,8
Task_12,44,189,2700,2700,18
Task_13,6,27,450,450,11
Task_14,10,28,400,400,10
Task_15,22,72,800,800,13
Task_16,14,48,1600,1600,16
Task_17,39,144,1800,1800,17
Task_18,115,243,8100,8100,19
Task_19,26,84,1200,1200,15
