Task,BCET,WCET,Period,Deadline,Priority
Task_0,1,3,100,100,4
Task_1,0,1,20,20,0
Task_2,0,1,50,50,2
Task_3,1,2,200,200,6
Task_4,3,9,150,150,5
Task_5,0,1,25,25,1
Task_6,2,6,600,600,11
Task_7,11,27,450,450,10
Task_8,3,6,300,300,8
Task_9,19,54,900,900,13
Task_10,33,72,1800,1800,14
Task_11,77,216,5400,5400,17
Task_12,1,3,75,75,3
Task_13,42,108,2700,2700,15
Task_14,1,4,400,400,9
Task_15,162,486,8100,8100,18
Task_16,4,9,225,225,7
Task_17,9,36,3600,3600,16
Task_18,122,432,10800,10800,19
Task_19,7,16,800,800,12
