task_name,component_id,Core_id,task_schedulable,avg_response_time,max_response_time,component_schedulable,deadlines_missed,deadlines_met
Task_0,Camera_Sensor,Core_1,1,12.9193,18.4074,1,0,1000
Task_1,Camera_Sensor,Core_1,1,41.2163,45.6667,1,0,334
Task_2,Camera_Sensor,Core_1,1,3.5643,9.8519,1,0,4000
Task_3,Camera_Sensor,Core_1,1,6.2874,9.7037,1,0,2000
Task_4,Camera_Sensor,Core_1,1,8.5244,15.5556,1,0,1334
Task_5,Image_Processor,Core_1,1,4.5638,12.7037,1,0,4000
Task_6,Image_Processor,Core_1,1,2.4167,7.4074,1,0,5000
Task_7,Image_Processor,Core_1,1,14.2681,19.5556,1,0,1000
Task_8,Bitmap_Processor,Core_1,1,28.6072,42.4074,1,0,2000
Task_9,Bitmap_Processor,Core_1,1,70.3250,90.9630,1,0,1000
Task_10,Bitmap_Processor,Core_1,1,11.1363,15.4074,1,0,4000
Task_11,Bitmap_Processor,Core_1,1,126.5273,195.7778,1,0,333
Task_12,Lidar_Sensor,Core_2,1,15.0712,17.7143,0,0,4000
Task_13,Lidar_Sensor,Core_2,1,4.4285,5.4286,0,0,10000
Task_14,Lidar_Sensor,Core_2,1,33.7594,38.8571,0,0,2000
Task_15,Lidar_Sensor,Core_2,0,0.0000,0.0000,0,666,0
Task_16,Control_Unit,Core_2,1,32.1500,39.4286,1,0,1000
Task_17,Control_Unit,Core_2,1,2.0953,2.4286,1,0,10000
Task_18,Control_Unit,Core_2,1,48.6989,74.8571,1,0,500
Task_19,Control_Unit,Core_2,1,23.3813,23.7143,1,0,2000
Task_20,Control_Unit,Core_2,1,248.7143,248.7143,1,0,333
Task_21,Control_Unit,Core_2,1,5.4049,7.2857,1,0,4000
Task_22,GPS_Sensor,Core_3,1,28.5720,34.1081,1,0,2000
Task_23,GPS_Sensor,Core_3,1,36.8367,42.4595,1,0,1000
Task_24,Communication_Unit,Core_3,1,3.8473,6.7027,1,0,4000
Task_25,Communication_Unit,Core_3,1,36.9189,36.9189,1,0,1000
Task_26,Communication_Unit,Core_3,1,173.8378,173.8378,1,0,333
Task_27,Communication_Unit,Core_3,1,2.0850,3.3514,1,0,10000
