Task_ID,WCET,Priority,Task_Schedulable,Component_ID,Component_Schedulable
=========================================================================
Task_2,5.5556,0.0,True,Camera_Sensor,True
Task_3,3.7037,1.0,True,Camera_Sensor,True
Task_4,3.7037,2.0,True,Camera_Sensor,True
Task_0,7.4074,3.0,True,Camera_Sensor,True
Task_1,14.8148,4.0,True,Camera_Sensor,True
Task_5,3.7037,-1,True,Image_Processor,True
Task_6,7.4074,-1,True,Image_Processor,True
Task_7,3.7037,-1,True,Image_Processor,True
Task_10,5.5556,0.0,True,Bitmap_Processor,True
Task_8,11.1111,1.0,True,Bitmap_Processor,True
Task_9,5.5556,2.0,True,Bitmap_Processor,True
Task_11,5.5556,3.0,True,Bitmap_Processor,True
Task_13,12.8571,0.0,True,Lidar_Sensor,True
Task_12,11.4286,1.0,True,Lidar_Sensor,True
Task_14,8.5714,2.0,True,Lidar_Sensor,True
Task_15,32.8571,3.0,True,Lidar_Sensor,True
Task_16,2.8571,-1,True,Control_Unit,True
Task_17,10.0000,-1,True,Control_Unit,True
Task_18,5.7143,-1,True,Control_Unit,True
Task_19,17.1429,-1,True,Control_Unit,True
Task_20,52.8571,-1,True,Control_Unit,True
Task_21,5.7143,-1,True,Control_Unit,True
Task_22,8.1081,0.0,True,GPS_Sensor,True
Task_23,4.0541,1.0,True,GPS_Sensor,True
Task_27,4.0541,0.0,True,Communication_Unit,True
Task_24,4.0541,1.0,True,Communication_Unit,True
Task_25,10.8108,2.0,True,Communication_Unit,True
Task_26,32.4324,3.0,True,Communication_Unit,True
