Task_ID,WCET,Priority,Task_Schedulable,Component_ID,Component_Schedulable
=========================================================================
Task_1,6.7114,0.0,True,Camera_Sensor,True
Task_0,10.7383,1.0,True,Camera_Sensor,True
Task_3,5.3691,2.0,True,Camera_Sensor,True
Task_2,38.9262,3.0,True,Camera_Sensor,True
Task_4,80.5369,4.0,True,Camera_Sensor,True
Task_5,2.6846,-1,True,Image_Processor,True
Task_6,2.6846,-1,True,Image_Processor,True
Task_7,8.7248,-1,True,Image_Processor,True
Task_8,1.6129,0.0,True,Lidar_Sensor,True
Task_10,3.2258,1.0,True,Lidar_Sensor,True
Task_9,6.4516,2.0,True,Lidar_Sensor,True
Task_11,4.8387,3.0,True,Lidar_Sensor,True
Task_12,4.8387,-1,True,Control_Unit,True
Task_13,6.4516,-1,True,Control_Unit,True
Task_14,9.6774,-1,True,Control_Unit,True
Task_15,6.4516,-1,True,Control_Unit,True
Task_16,8.0645,-1,True,Control_Unit,True
Task_17,6.4516,-1,True,Control_Unit,True
