task_name,component_id,Core_id,task_schedulable,avg_response_time,max_response_time,component_schedulable,deadlines_missed,deadlines_met
Task_0,Camera_Sensor,Core_1,0,47.4752,76.1611,0,1,10
Task_1,Camera_Sensor,Core_1,0,13.6842,20.7114,0,1,20
Task_2,Camera_Sensor,Core_1,0,273.7092,288.3289,0,1,3
Task_3,Camera_Sensor,Core_1,0,48.2081,81.9933,0,1,5
Task_4,Camera_Sensor,Core_1,0,0.0000,0.0000,0,2,0
Task_5,Image_Processor,Core_1,0,7.0077,12.6846,0,1,40
Task_6,Image_Processor,Core_1,0,18.4826,32.4631,0,1,20
Task_7,Image_Processor,Core_1,0,47.6711,59.7785,0,1,13
Task_8,Lidar_Sensor,Core_2,0,3.3121,5.6129,0,1,40
Task_9,Lidar_Sensor,Core_2,0,71.9903,88.0645,0,1,10
Task_10,Lidar_Sensor,Core_2,0,16.3339,28.8387,0,1,20
Task_11,Lidar_Sensor,Core_2,0,171.9161,197.8387,0,1,5
Task_12,Control_Unit,Core_2,0,44.0397,57.5484,0,1,13
Task_13,Control_Unit,Core_2,0,16.0735,32.2258,0,1,25
Task_14,Control_Unit,Core_2,0,82.4387,94.8065,0,1,10
Task_15,Control_Unit,Core_2,0,27.6597,38.4516,0,1,20
Task_16,Control_Unit,Core_2,0,52.5658,71.5484,0,1,13
Task_17,Control_Unit,Core_2,0,97.6169,113.4839,0,1,8
